GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
1,Aeugst am Albis,1402,664,47.36,663,481,182,72.55,Aeugst am Albis,101,1,"POLYGON ((2678219 1235219, 2678439 1235360, 2678560 1235856, 2678206 1236419, 2678196 1237038, 2678259 1237306, 2678520 1237272, 2678462 1237479, 2678123 1237563, 2678568 1238078, 2679069 1238116, 2679202 1238533, 2679735 1238325, 2679758 1238485, 2680539 1237741, 2680802 1237767, 2681155 1237447, 2681130 1237060, 2680922 1236880, 2681050 1236772, 2680945 1236497, 2680610 1236347, 2680402 1236295, 2680596 1235433, 2680489 1235030, 2680409 1235056, 2679955 1234851, 2679361 1234960, 2679123 1234607, 2678385 1234936, 2678219 1235219))"
2,Affoltern am Albis,7186,2880,40.08,2850,2079,771,72.95,Affoltern am Albis,101,1,"POLYGON ((2678219 1235219, 2677940 1235369, 2677904 1235238, 2677412 1235285, 2676797 1235769, 2676374 1235706, 2676424 1235257, 2676229 1235231, 2676175 1235526, 2675478 1236449, 2675657 1236711, 2675449 1237031, 2675206 1237079, 2675200 1236916, 2674986 1237050, 2674795 1236820, 2674192 1238467, 2673997 1238330, 2673832 1238522, 2674912 1239341, 2675052.567499999 1238988.5874999985, 2675677 1238782, 2676044 1238219, 2676454 1238217, 2676563 1238053, 2677112 1238367, 2677234 1238229, 2677292 1238643, 2677530 1238513, 2677628 1238651, 2677788 1238456, 2677878 1238588, 2678520 1238545, 2678568 1238078, 2678123 1237563, 2678462 1237479, 2678520 1237272, 2678259 1237306, 2678196 1237038, 2678206 1236419, 2678560 1235856, 2678439 1235360, 2678219 1235219))"
3,Bonstetten,3656,1701,46.53,1691,1251,440,73.98,Bonstetten,101,1,"POLYGON ((2675803 1241039, 2675748 1241252, 2676393 1241879, 2676346 1242176, 2676639 1242490, 2676752 1243139, 2676837 1243165, 2677261 1242705, 2677630 1242897, 2677616 1242414, 2678520 1242357, 2678567 1242045, 2679020 1241972, 2679157 1241727, 2678997 1241127, 2679240 1240802, 2679645 1240697, 2679000 1240587, 2678900 1240406, 2678782 1239450, 2678970 1239005, 2678705 1239225, 2678528 1239126, 2676647 1240636, 2676538 1240510, 2675803 1241039))"
4,Hausen am Albis,2505,1145,45.71,1132,802,330,70.85,Hausen am Albis,101,1,"POLYGON ((2686324 1230388, 2686024 1230187, 2684995 1230472, 2684470 1230854, 2684385 1230682, 2683672 1230715, 2683515 1230956, 2683661 1231010, 2683232 1231450, 2683612 1231545, 2683282 1231946, 2682592 1232135, 2682061 1232627, 2682055 1232441, 2681447 1232425, 2681397 1233817, 2681605 1233925, 2680489 1235030, 2680596 1235433, 2680402 1236295, 2680610 1236347, 2681167 1236027, 2681473 1236379, 2681725 1235627, 2681960 1235484, 2682179 1235780, 2682747 1235605, 2683021 1235072, 2683950 1233635, 2684705 1233022, 2685595 1231342, 2686488 1230707, 2686324 1230388))"
5,Hedingen,2515,1183,47.04,1178,876,302,74.36,Hedingen,101,1,"POLYGON ((2675803 1241039, 2676538 1240510, 2676647 1240636, 2678528 1239126, 2678705 1239225, 2678970 1239005, 2678520 1238545, 2677878 1238588, 2677788 1238456, 2677628 1238651, 2677530 1238513, 2677292 1238643, 2677234 1238229, 2677112 1238367, 2676563 1238053, 2676454 1238217, 2676044 1238219, 2675677 1238782, 2675052.567499999 1238988.5874999985, 2674912 1239341, 2674859 1239396, 2675063 1239892, 2674928 1240083, 2675128 1240196, 2675114 1240548, 2675410 1240954, 2675803 1241039))"
6,Kappel am Albis,712,281,39.47,280,187,93,66.79,Kappel am Albis,101,1,"POLYGON ((2680285 1229552, 2679649 1229427, 2679323 1230263, 2679575 1230322, 2679527 1230802, 2679751 1231192, 2679036 1232175, 2679156 1232381, 2679645 1232352, 2679875 1232137, 2680240 1232215, 2680924 1231563, 2681382 1231488, 2681246 1231965, 2682127 1232210, 2682055 1232441, 2682061 1232627, 2682592 1232135, 2683282 1231946, 2683612 1231545, 2683232 1231450, 2683661 1231010, 2683515 1230956, 2683672 1230715, 2683355 1230818, 2683147 1230558, 2682848 1230696, 2682767 1230223, 2681998 1230482, 2681343 1230387, 2681320 1229951, 2680285 1229552))"
7,Knonau,1482,591,39.88,584,445,139,76.2,Knonau,101,1,"POLYGON ((2679323 1230263, 2679649 1229427, 2679189 1229129, 2678887 1229152, 2678604 1229306, 2678371 1229163, 2678176 1229684, 2677478 1229694, 2677112 1230237, 2676837 1230147, 2676755 1230347, 2676441 1230393, 2676327 1230768, 2676447 1230992, 2676282 1231429, 2675914 1231905, 2676003 1232020, 2675641 1232270, 2675655 1233007, 2675876 1233124, 2676025 1232717, 2676225 1232882, 2676457 1232387, 2676763 1232568, 2677227 1231955, 2677695 1232070, 2678029.977499999 1231415.3836999983, 2679240 1230547, 2679323 1230263))"
8,Maschwanden,461,197,42.73,196,133,63,67.86,Maschwanden,101,1,"POLYGON ((2673859 1233032, 2673861 1233292, 2674058 1233379, 2674958 1233274, 2675445 1233450, 2675655 1233007, 2675641 1232270, 2676003 1232020, 2675914 1231905, 2676282 1231429, 2676447 1230992, 2676327 1230768, 2676127 1230692, 2675920 1230962, 2675617 1230792, 2675042 1230920, 2674488 1230737, 2674225 1231115, 2674177 1231875, 2673915 1232453, 2674074 1232731, 2673859 1233032))"
9,Mettmenstetten,3378,1740,51.51,1725,1230,495,71.3,Mettmenstetten,101,1,"POLYGON ((2678219 1235219, 2678385 1234936, 2679123 1234607, 2679361 1234960, 2679955 1234851, 2680409 1235056, 2680279 1234566, 2679754 1234129, 2679825 1233899, 2679384 1233871, 2679177 1234224, 2678250 1234035, 2678677 1233747, 2678455 1233578, 2678717 1233380, 2678435 1233230, 2679232 1232580, 2679156 1232381, 2679036 1232175, 2679751 1231192, 2679527 1230802, 2679575 1230322, 2679323 1230263, 2679240 1230547, 2678029.977499999 1231415.3836999983, 2677695 1232070, 2677227 1231955, 2676763 1232568, 2676457 1232387, 2676225 1232882, 2676025 1232717, 2675876 1233124, 2675655 1233007, 2675445 1233450, 2675592 1233642, 2675197 1234130, 2675212 1234790, 2675449 1234980, 2675370 1235110, 2675918 1235163, 2675861 1235390, 2676175 1235526, 2676229 1235231, 2676424 1235257, 2676374 1235706, 2676797 1235769, 2677412 1235285, 2677904 1235238, 2677940 1235369, 2678219 1235219))"
10,Obfelden,3472,1298,37.38,1287,902,385,70.09,Obfelden,101,1,"POLYGON ((2673859 1233032, 2673590 1233469, 2672965 1234245, 2673125 1234825, 2672825 1235245, 2672860 1235707, 2673947 1236037, 2674425 1236580, 2674799 1236245, 2674795 1236820, 2674986 1237050, 2675200 1236916, 2675206 1237079, 2675449 1237031, 2675657 1236711, 2675478 1236449, 2676175 1235526, 2675861 1235390, 2675918 1235163, 2675370 1235110, 2675449 1234980, 2675212 1234790, 2675197 1234130, 2675592 1233642, 2675445 1233450, 2674958 1233274, 2674058 1233379, 2673861 1233292, 2673859 1233032))"
11,Ottenbach,1851,850,45.92,844,604,240,71.56,Ottenbach,101,1,"POLYGON ((2673832 1238522, 2673997 1238330, 2674192 1238467, 2674795 1236820, 2674799 1236245, 2674425 1236580, 2673947 1236037, 2672860 1235707, 2672925 1236195, 2672355 1236785, 2672093 1237726, 2671870 1238118, 2672139 1238229, 2672503 1237896, 2673045 1238340, 2673832 1238522))"
12,Rifferswil,749,384,51.27,381,283,98,74.28,Rifferswil,101,1,"POLYGON ((2680409 1235056, 2680489 1235030, 2681605 1233925, 2681397 1233817, 2681447 1232425, 2682055 1232441, 2682127 1232210, 2681246 1231965, 2681382 1231488, 2680924 1231563, 2680240 1232215, 2679875 1232137, 2679645 1232352, 2679156 1232381, 2679232 1232580, 2678435 1233230, 2678717 1233380, 2678455 1233578, 2678677 1233747, 2678250 1234035, 2679177 1234224, 2679384 1233871, 2679825 1233899, 2679754 1234129, 2680279 1234566, 2680409 1235056))"
13,Stallikon,2370,1060,44.73,1053,671,382,63.72,Stallikon,101,1,"POLYGON ((2680802 1237767, 2680539 1237741, 2679758 1238485, 2679735 1238325, 2679202 1238533, 2679069 1238116, 2678568 1238078, 2678520 1238545, 2678970 1239005, 2678782 1239450, 2678900 1240406, 2679000 1240587, 2679645 1240697, 2679240 1240802, 2678997 1241127, 2679157 1241727, 2679020 1241972, 2679127 1242688, 2678936 1242699, 2678950 1243405, 2677876 1244665, 2677850 1244897, 2678266 1245269, 2678670 1245397, 2679202 1245177, 2680084 1244256, 2680029 1244010, 2680370 1243399, 2680285 1241857, 2680477 1241585, 2681018 1240317, 2680807 1239956, 2680937 1239625, 2680772 1239270, 2681020 1238685, 2681037 1237938, 2680802 1237767))"
14,Wettswil am Albis,3421,1565,45.75,1552,1117,435,71.97,Wettswil am Albis,101,1,"POLYGON ((2677876 1244665, 2678950 1243405, 2678936 1242699, 2679127 1242688, 2679020 1241972, 2678567 1242045, 2678520 1242357, 2677616 1242414, 2677630 1242897, 2677261 1242705, 2676837 1243165, 2677310 1243325, 2677305 1243695, 2676865 1244162, 2676797 1244522, 2677288 1244859, 2677876 1244665))"
22,Benken (ZH),602,271,45.02,267,145,122,54.31,Benken (ZH),102,1,"POLYGON ((2690121 1277675, 2689947 1278016, 2690256 1279084, 2690113 1279174, 2690213 1279361, 2689749 1279556, 2691065 1279832, 2691460 1280282, 2692514 1280270, 2692374 1279111, 2692660 1278867, 2692534 1278571, 2692251 1278504, 2692420 1278217, 2691954 1277940, 2692106 1277695, 2691895 1277565, 2691780 1277795, 2691540 1277585, 2691568 1277340, 2691350 1277667, 2690863 1277529, 2690686 1277785, 2690631 1277352, 2690121 1277675))"
