GMDNR;GMDNAME;Stimmberechtigte;Abgegebene Stimmen;Beteiligung in %;Gültige Stimmzettel;Ja;Nein;Ja in %
1;Aeugst am Albis;1402;664;47.36;663;481;182;72.55
2;Affoltern am Albis;7186;2880;40.08;2850;2079;771;72.95
3;Bonstetten;3656;1701;46.53;1691;1251;440;73.98
4;Hausen am Albis;2505;1145;45.71;1132;802;330;70.85
5;Hedingen;2515;1183;47.04;1178;876;302;74.36
6;Kappel am Albis;712;281;39.47;280;187;93;66.79
7;Knonau;1482;591;39.88;584;445;139;76.2
8;Maschwanden;461;197;42.73;196;133;63;67.86
9;Mettmenstetten;3378;1740;51.51;1725;1230;495;71.3
10;Obfelden;3472;1298;37.38;1287;902;385;70.09
11;Ottenbach;1851;850;45.92;844;604;240;71.56
12;Rifferswil;749;384;51.27;381;283;98;74.28
13;Stallikon;2370;1060;44.73;1053;671;382;63.72
14;Wettswil am Albis;3421;1565;45.75;1552;1117;435;71.97
21;Adlikon;501;260;51.9;256;130;126;50.78
22;Benken (ZH);602;271;45.02;267;145;122;54.31
23;Berg am Irchel;435;264;60.69;259;138;121;53.28
24;Buch am Irchel;686;304;44.31;299;178;121;59.53
25;Dachsen;1349;571;42.33;565;437;128;77.35
26;Dorf;478;211;44.14;208;121;87;58.17
27;Feuerthalen;2271;884;38.93;877;646;231;73.66
28;Flaach;971;423;43.56;418;232;186;55.5
29;Flurlingen;1009;456;45.19;453;355;98;78.37
291;Andelfingen;1509;768;50.89;760;539;221;70.92
31;Henggart;1616;724;44.8;715;522;193;73.01
32;Humlikon;355;167;47.04;167;96;71;57.49
33;Kleinandelfingen;1444;704;48.75;693;447;246;64.5
34;Laufen-Uhwiesen;1186;542;45.7;536;387;149;72.2
35;Marthalen;1409;711;50.46;708;429;279;60.59
37;Ossingen;1170;553;47.26;545;339;206;62.2
38;Rheinau;873;442;50.63;433;326;107;75.29
39;Thalheim an der Thur;655;293;44.73;290;183;107;63.1
40;Trüllikon;824;425;51.58;415;240;175;57.83
41;Truttikon;355;193;54.37;192;102;90;53.13
43;Volken;226;104;46.02;104;53;51;50.96
292;Stammheim;2028;1273;62.77;1259;862;397;68.47
51;Bachenbülach;2503;858;34.28;845;607;238;71.83
52;Bassersdorf;7082;2490;35.16;2473;1771;702;71.61
53;Bülach;11980;4192;34.99;4164;3004;1160;72.14
54;Dietlikon;4766;1800;37.77;1788;1278;510;71.48
55;Eglisau;3191;1435;44.97;1424;1082;342;75.98
56;Embrach;5492;1884;34.3;1854;1210;644;65.26
57;Freienstein-Teufen;1681;782;46.52;776;509;267;65.59
58;Glattfelden;3124;1114;35.66;1102;634;468;57.53
59;Hochfelden;1322;539;40.77;529;335;194;63.33
60;Höri;1530;471;30.78;469;267;202;56.93
61;Hüntwangen;717;309;43.1;308;205;103;66.56
62;Kloten;10820;3107;28.72;3085;2009;1076;65.12
63;Lufingen;1481;568;38.35;565;347;218;61.42
64;Nürensdorf;3880;1683;43.38;1669;1027;642;61.53
65;Oberembrach;806;402;49.88;397;211;186;53.15
66;Opfikon;8992;2359;26.23;2343;1525;818;65.09
67;Rafz;2863;1248;43.59;1234;803;431;65.07
68;Rorbas;1612;530;32.88;522;330;192;63.22
69;Wallisellen;9158;3392;37.04;3373;2357;1016;69.88
70;Wasterkingen;411;170;41.36;170;120;50;70.59
71;Wil (ZH);1013;461;45.51;456;314;142;68.86
72;Winkel;3243;1410;43.48;1399;865;534;61.83
81;Bachs;425;204;48;199;120;79;60.3
82;Boppelsen;939;418;44.52;415;262;153;63.13
83;Buchs (ZH);3795;1138;29.99;1126;693;433;61.55
84;Dällikon;2380;761;31.97;757;447;310;59.05
85;Dänikon;1107;436;39.39;436;266;170;61.01
86;Dielsdorf;3371;1083;32.13;1070;694;376;64.86
87;Hüttikon;585;221;37.78;220;133;87;60.45
88;Neerach;2344;962;41.04;947;588;359;62.09
89;Niederglatt;2993;980;32.74;974;602;372;61.81
90;Niederhasli;5488;1777;32.38;1763;1143;620;64.83
91;Niederweningen;2031;926;45.59;915;637;278;69.62
92;Oberglatt;3503;997;28.46;988;653;335;66.09
93;Oberweningen;1182;542;45.85;534;354;180;66.29
94;Otelfingen;1787;711;39.79;706;466;240;66.01
95;Regensberg;323;158;48.92;158;121;37;76.58
96;Regensdorf;9714;3010;30.99;2991;1823;1168;60.95
97;Rümlang;4497;1397;31.07;1387;832;555;59.99
98;Schleinikon;547;245;44.79;242;157;85;64.88
99;Schöfflisdorf;966;455;47.1;449;318;131;70.82
100;Stadel;1574;571;36.28;561;313;248;55.79
101;Steinmaur;2163;832;38.47;828;511;317;61.71
102;Weiach;1094;326;29.8;325;174;151;53.54
111;Bäretswil;3607;1580;43.8;1559;973;586;62.41
112;Bubikon;5155;1790;34.72;1783;1277;506;71.62
113;Dürnten;4980;1772;35.58;1762;1241;521;70.43
114;Fischenthal;1665;707;42.46;702;350;352;49.86
115;Gossau (ZH);7065;2778;39.32;2753;1854;899;67.34
116;Grüningen;2367;983;41.53;978;630;348;64.42
117;Hinwil;7686;3001;39.05;2962;1957;1005;66.07
118;Rüti (ZH);7560;2789;36.89;2766;1951;815;70.54
119;Seegräben;960;490;51.04;484;351;133;72.52
120;Wald (ZH);6004;2131;35.49;2109;1438;671;68.18
121;Wetzikon (ZH);15086;5214;34.56;5172;3698;1474;71.5
131;Adliswil;9934;2864;28.83;2810;1566;1244;55.73
135;Kilchberg (ZH);4839;2313;47.8;2296;1518;778;66.11
136;Langnau am Albis;4488;1973;43.96;1947;1247;700;64.05
137;Oberrieden;3336;1579;47.33;1575;1095;480;69.52
138;Richterswil;8687;3512;40.43;3479;2436;1043;70.02
139;Rüschlikon;3306;1500;45.37;1478;936;542;63.33
141;Thalwil;10599;4558;43;4526;3204;1322;70.79
293;Wädenswil;15780;6430;40.75;6375;4392;1983;68.89
295;Horgen;13101;5087;38.83;5041;3453;1588;68.5
151;Erlenbach (ZH);3517;1686;47.94;1674;1083;591;64.7
152;Herrliberg;4057;2007;49.47;1992;1257;735;63.1
153;Hombrechtikon;5638;2344;41.58;2335;1619;716;69.34
154;Küsnacht (ZH);8754;4187;47.83;4141;2596;1545;62.69
155;Männedorf;7210;3360;46.6;3337;2439;898;73.09
156;Meilen;8914;4068;45.64;4028;2741;1287;68.05
157;Oetwil am See;2726;895;32.83;888;561;327;63.18
158;Stäfa;9749;4455;45.7;4421;3211;1210;72.63
159;Uetikon am See;4085;1845;45.17;1830;1243;587;67.92
160;Zumikon;3228;1723;53.38;1698;1070;628;63.02
161;Zollikon;7921;3824;48.28;3787;2547;1240;67.26
172;Fehraltorf;4174;1651;39.55;1634;1132;502;69.28
173;Hittnau;2656;1149;43.26;1139;791;348;69.45
176;Lindau;3556;1546;43.48;1532;1068;464;69.71
177;Pfäffikon;7914;3360;42.46;3340;2425;915;72.6
178;Russikon;3016;1291;42.81;1274;804;470;63.11
180;Weisslingen;2435;1029;42.26;1020;657;363;64.41
181;Wila;1404;626;44.59;625;381;244;60.96
182;Wildberg;731;377;51.57;373;243;130;65.15
296;Illnau-Effretikon;10261;4104;40;4058;2897;1161;71.39
297;Bauma;3395;1531;45.1;1515;895;620;59.08
191;Dübendorf;15375;5200;33.82;5154;3574;1580;69.34
192;Egg;5566;2437;43.78;2410;1612;798;66.89
193;Fällanden;5273;1973;37.42;1963;1331;632;67.8
194;Greifensee;3434;1460;42.52;1448;1104;344;76.24
195;Maur;6620;3160;47.73;3121;1947;1174;62.38
196;Mönchaltorf;2517;1070;42.51;1060;742;318;70
197;Schwerzenbach;3109;1166;37.5;1155;845;310;73.16
198;Uster;21648;7802;36.04;7762;5951;1811;76.67
199;Volketswil;11282;3743;33.18;3704;2360;1344;63.71
200;Wangen-Brüttisellen;4699;1558;33.16;1543;992;551;64.29
211;Altikon;524;257;49.05;257;164;93;63.81
213;Brütten;1542;760;49.29;746;507;239;67.96
214;Dägerlen;733;374;51.02;373;252;121;67.56
215;Dättlikon;551;302;54.81;299;227;72;75.92
216;Dinhard;1174;546;46.51;538;355;183;65.99
218;Ellikon an der Thur;624;276;44.23;272;188;84;69.12
219;Elsau;2425;1060;43.71;1051;744;307;70.79
220;Hagenbuch;788;298;37.82;296;167;129;56.42
221;Hettlingen;2266;1117;49.29;1108;815;293;73.56
223;Neftenbach;3862;1674;43.35;1660;1177;483;70.9
224;Pfungen;2247;839;37.34;836;595;241;71.17
225;Rickenbach (ZH);1860;841;45.22;830;579;251;69.76
226;Schlatt (ZH);514;272;52.92;265;182;83;68.68
227;Seuzach;5336;2362;44.27;2339;1634;705;69.86
228;Turbenthal;3081;1236;40.12;1223;773;450;63.21
230;Winterthur;69269;27685;39.97;27451;22248;5203;81.05
231;Zell (ZH);3755;1494;39.79;1476;1028;448;69.65
294;Elgg;3311;1492;45.06;1476;997;479;67.55
298;Wiesendangen;4683;2223;47.47;2204;1509;695;68.47
241;Aesch (ZH);957;483;50.47;471;301;170;63.91
242;Birmensdorf (ZH);3965;1743;43.96;1726;1099;627;63.67
243;Dietikon;12186;4429;36.34;4378;3157;1221;72.11
244;Geroldswil;2924;1061;36.29;1052;640;412;60.84
245;Oberengstringen;3733;1351;36.19;1336;895;441;66.99
246;Oetwil an der Limmat;1765;788;44.65;782;448;334;57.29
247;Schlieren;8287;2754;33.23;2732;1885;847;69
248;Uitikon;2907;1504;51.74;1489;915;574;61.45
249;Unterengstringen;2390;1055;44.14;1044;634;410;60.73
250;Urdorf;6043;2645;43.77;2623;1841;782;70.19
251;Weiningen (ZH);2800;1107;39.54;1098;689;409;62.75
261;Zürich;230556;92241;40.01;91491;72263;19228;78.98
9010;ZH-Ausland-CH;27785;6174;22.22;6147;5354;793;87.1
9012;ZH-Anderes;...;...;...;...;...;...;...
431;Corgémont;1150;370;32.17;366;267;99;72.95
432;Cormoret;383;131;34.2;130;102;28;78.46
433;Cortébert;483;154;31.88;149;106;43;71.14
434;Courtelary;968;308;31.82;301;231;70;76.74
435;La Ferrière;416;114;27.4;114;98;16;85.96
437;Mont-Tramelan;110;48;43.64;48;35;13;72.92
438;Orvin;914;271;29.65;264;200;64;75.76
441;Renan (BE);712;234;32.87;231;168;63;72.73
442;Romont (BE);160;51;31.88;50;32;18;64
443;Saint-Imier;3055;820;26.84;814;650;164;79.85
444;Sonceboz-Sombeval;1271;328;25.81;326;258;68;79.14
445;Sonvilier;878;241;27.45;233;167;66;71.67
446;Tramelan;3217;942;29.28;932;741;191;79.51
448;Villeret;652;287;44.02;280;209;71;74.64
449;Sauge;629;180;28.62;178;126;52;70.79
450;Péry-La Heutte;1310;321;24.5;316;219;97;69.3
681;Belprahon;242;72;29.75;70;59;11;84.29
683;Champoz;128;62;48.44;62;31;31;50
687;Corcelles (BE);174;54;31.03;54;49;5;90.74
690;Court;1037;280;27;276;180;96;65.22
691;Crémines;393;121;30.79;121;93;28;76.86
692;Eschert;274;64;23.36;62;41;21;66.13
694;Grandval;287;79;27.53;77;64;13;83.12
696;Loveresse;251;84;33.47;84;70;14;83.33
700;Moutier;4580;1303;28.45;1283;1055;228;82.23
701;Perrefitte;324;101;31.17;99;82;17;82.83
703;Reconvilier;1500;440;29.33;439;339;100;77.22
704;Roches (BE);151;37;24.5;37;21;16;56.76
706;Saicourt;475;114;24;110;69;41;62.73
707;Saules (BE);122;49;40.16;49;28;21;57.14
708;Schelten;67;25;37.31;25;20;5;80
709;Seehof;59;17;28.81;17;13;4;76.47
711;Sorvilier;226;77;34.07;76;67;9;88.16
713;Tavannes;2189;521;23.8;518;421;97;81.27
715;Rebévelier;34;22;64.71;22;12;10;54.55
716;Petit-Val;309;145;46.93;144;102;42;70.83
717;Valbirse;2638;1165;44.16;1143;834;309;72.97
723;La Neuveville;2646;934;35.3;917;775;142;84.51
724;Nods;589;172;29.2;171;132;39;77.19
726;Plateau de Diesse;1555;472;30.35;459;362;97;78.87
371;Biel/Bienne;31046;8971;28.9;8905;7313;1592;82.12
372;Evilard;1847;780;42.23;770;622;148;80.78
387;Lengnau (BE);3342;1116;33.39;1098;737;361;67.12
390;Meinisberg;949;274;28.87;274;193;81;70.44
392;Pieterlen;2532;606;23.93;600;427;173;71.17
731;Aegerten;1429;460;32.19;455;331;124;72.75
732;Bellmund;1248;439;35.18;436;337;99;77.29
733;Brügg;2831;818;28.89;811;627;184;77.31
739;Ipsach;3004;1113;37.05;1102;882;220;80.04
740;Ligerz;424;197;46.46;196;131;65;66.84
742;Mörigen;707;299;42.29;298;200;98;67.11
743;Nidau;4441;1390;31.3;1383;1122;261;81.13
744;Orpund;1931;549;28.43;545;382;163;70.09
745;Port;2679;935;34.9;930;695;235;74.73
746;Safnern;1469;482;32.81;476;294;182;61.76
747;Scheuren;349;117;33.52;115;85;30;73.91
748;Schwadernau;490;152;31.02;149;100;49;67.11
750;Sutz-Lattrigen;1042;388;37.24;383;292;91;76.24
756;Twann-Tüscherz;911;366;40.18;360;250;110;69.44
301;Aarberg;3402;1132;33.27;1124;824;300;73.31
302;Bargen (BE);771;252;32.68;251;204;47;81.27
303;Grossaffoltern;2401;839;34.94;836;617;219;73.8
304;Kallnach;1700;574;33.76;565;395;170;69.91
305;Kappelen;1081;361;33.4;358;244;114;68.16
306;Lyss;10452;3236;30.96;3219;2422;797;75.24
309;Radelfingen;1024;370;36.13;365;259;106;70.96
310;Rapperswil (BE);2159;738;34.18;733;518;215;70.67
311;Schüpfen;2904;999;34.4;995;712;283;71.56
312;Seedorf (BE);2481;889;35.83;884;599;285;67.76
381;Arch;1221;358;29.32;358;215;143;60.06
382;Büetigen;669;208;31.09;207;135;72;65.22
383;Büren an der Aare;2450;823;33.59;821;609;212;74.18
385;Diessbach bei Büren;714;248;34.73;242;162;80;66.94
386;Dotzigen;1098;352;32.06;349;257;92;73.64
388;Leuzigen;927;266;28.69;264;180;84;68.18
389;Meienried (Gemeinsame Urne, Standort: Büren an der Aare          );...;...;...;...;...;...;...
391;Oberwil bei Büren;667;222;33.28;220;157;63;71.36
393;Rüti bei Büren;653;188;28.79;184;120;64;65.22
394;Wengi;460;160;34.78;159;110;49;69.18
491;Brüttelen;417;154;36.93;143;99;44;69.23
492;Erlach;1000;369;36.9;368;287;81;77.99
493;Finsterhennen;331;108;32.63;108;71;37;65.74
494;Gals;593;186;31.37;183;140;43;76.5
495;Gampelen;638;210;32.92;208;143;65;68.75
496;Ins;2355;954;40.51;950;699;251;73.58
497;Lüscherz;434;129;29.72;129;84;45;65.12
498;Müntschemier;812;306;37.68;304;207;97;68.09
499;Siselen;448;141;31.47;140;90;50;64.29
500;Treiten;315;125;39.68;123;82;41;66.67
501;Tschugg;301;121;40.2;120;103;17;85.83
502;Vinelz;676;276;40.83;275;200;75;72.73
734;Bühl;386;116;30.05;116;76;40;65.52
735;Epsach;250;79;31.6;79;53;26;67.09
736;Hagneck;332;115;34.64;114;78;36;68.42
737;Hermrigen;257;73;28.4;73;56;17;76.71
738;Jens;533;203;38.09;203;157;46;77.34
741;Merzligen;335;125;37.31;125;96;29;76.8
749;Studen (BE);2156;620;28.76;616;430;186;69.81
751;Täuffelen;2169;763;35.18;759;567;192;74.7
754;Walperswil;777;238;30.63;238;167;71;70.17
755;Worben;1697;604;35.59;600;419;181;69.83
321;Aarwangen;3176;1082;34.07;1070;717;353;67.01
322;Auswil;380;136;35.79;131;82;49;62.6
323;Bannwil;515;177;34.37;177;111;66;62.71
324;Bleienbach;563;204;36.23;202;103;99;50.99
325;Busswil bei Melchnau;177;72;40.68;72;36;36;50
326;Gondiswil;609;174;28.57;173;101;72;58.38
329;Langenthal;10520;3475;33.03;3458;2675;783;77.36
331;Lotzwil;1747;590;33.77;582;438;144;75.26
332;Madiswil;2608;944;36.2;931;621;310;66.7
333;Melchnau;1105;333;30.14;330;228;102;69.09
335;Oeschenbach;205;54;26.34;50;38;12;76
336;Reisiswil;152;44;28.95;44;26;18;59.09
337;Roggwil (BE);2850;882;30.95;879;639;240;72.7
338;Rohrbach;1215;337;27.74;333;202;131;60.66
339;Rohrbachgraben;328;110;33.54;110;77;33;70
340;Rütschelen;431;145;33.64;143;101;42;70.63
341;Schwarzhäusern;422;138;32.7;138;86;52;62.32
342;Thunstetten;2319;659;28.42;652;443;209;67.94
344;Ursenbach;729;212;29.08;207;119;88;57.49
345;Wynau;1081;315;29.14;303;192;111;63.37
953;Eriswil;1118;259;23.17;258;163;95;63.18
954;Huttwil;3614;1098;30.38;1091;779;312;71.4
959;Walterswil (BE);457;120;26.26;119;65;54;54.62
960;Wyssachen;972;254;26.13;249;149;100;59.84
971;Attiswil;1126;377;33.48;369;248;121;67.21
