BFS;FREQUENCY;SUM_Shape_Length
1;53;6013.753244
2;57;5734.993989
3;26;3433.248578
4;95;10765.60046
5;21;4223.776944
6;61;8750.06637
7;7;2585.201585
8;5;582.760186
9;6;2148.284906
10;84;6388.031791
11;9;2199.295065
12;9;2925.049143
13;118;12386.4112
14;18;2489.572055
22;49;4034.041092
23;39;4645.459659
25;69;5385.83976
26;2;655.958438
27;39;2752.246983
28;43;3675.50753
29;19;2117.038105
31;37;2559.63864
33;45;7211.304353
34;40;4737.545733
35;93;8309.201726
37;59;8809.599108
38;77;8505.449352
39;26;4548.161105
40;48;4334.659195
41;1;575.559122
43;3;869.576615
51;16;2877.116303
52;120;12338.47689
53;136;14381.23297
54;44;5151.734903
55;84;6794.436993
56;23;3497.570872
57;80;7944.472938
58;95;13342.684
59;29;4237.028019
60;42;5025.490547
61;8;2748.932754
62;180;24117.56254
63;10;2601.558485
64;20;3060.967905
65;1;1039.983061
66;142;12392.26483
67;3;2021.708563
68;42;3171.060419
69;75;4886.023278
70;3;321.072429
71;2;692.189855
72;9;3500.8243
81;61;9639.84309
82;1;4.428301
83;40;4777.805657
84;18;2987.626394
85;23;2838.995421
86;84;10823.98937
87;15;1001.00508
88;16;5694.619721
89;44;3917.794765
90;71;11574.54264
91;29;2294.20811
92;64;10843.05605
93;7;480.916248
94;20;3762.419496
96;170;20158.18617
97;95;15147.1462
98;14;1365.997703
99;19;2029.371565
100;5;3221.09333
101;107;9635.444398
102;30;8635.259501
111;15;3952.468568
112;102;12537.5368
113;134;13368.09014
114;97;7868.704248
115;174;20727.75913
116;3;764.23008
117;92;13669.35552
118;81;8921.293364
119;33;4675.99079
120;225;24722.75224
121;139;14684.54747
131;50;4725.362116
135;42;2819.359203
136;50;4634.03368
137;12;2267.780731
138;36;4694.782694
139;24;2006.466409
141;46;4070.877294
151;36;2179.664011
152;41;2825.647999
153;60;7358.051805
154;100;3894.589483
155;59;3141.527953
156;143;7657.810035
157;35;4618.19875
158;118;10054.26402
159;44;3437.230963
160;1;23.526519
161;66;4126.858844
172;20;4159.404535
173;40;7170.063112
176;180;20790.20919
177;213;21891.17598
178;72;10023.46486
180;81;7766.556832
181;25;4823.563777
182;6;1086.880085
191;392;29611.73291
192;88;9745.756821
193;22;5854.505105
194;39;6527.939254
195;37;8225.788046
196;103;9791.262911
197;41;4114.270321
198;237;30189.05065
199;114;14121.76624
200;53;4564.331504
211;63;6533.87634
214;1;475.97673
215;34;3284.914564
216;35;5369.535024
218;1;1120.213445
219;29;6378.197678
220;40;6894.032098
221;56;7695.185832
223;100;10601.27953
224;53;4171.191374
225;3;1348.779586
227;89;11562.32596
228;102;10516.74736
230;1308;100899.8293
231;40;7166.881113
241;2;924.212808
242;112;11407.39695
243;243;19545.09645
246;11;1971.691327
247;107;12774.85482
248;13;1175.530755
249;25;3223.776584
250;75;8814.071917
251;17;1847.260998
261;1635;107483.1061
291;122;15177.4614
292;141;14552.92482
293;34;5724.999111
294;30;5816.352925
295;124;16164.04354
296;178;21085.16314
297;177;23707.33266
298;125;11569.7982
301;63;4682.980861
302;28;4540.596944
303;35;2791.356565
304;79;9103.030265
305;21;3399.13668
306;212;16989.92383
307;54;5926.830642
309;31;3536.378502
310;29;2985.216981
311;70;8263.408747
312;74;11065.71802
321;118;10402.12076
322;24;3555.658033
323;16;1996.195154
324;2;46.090378
326;33;4216.581241
329;205;15367.49613
331;44;2839.013993
332;117;21936.93246
335;10;1257.147082
337;62;4623.052224
338;22;2953.18669
340;20;2562.940264
341;21;2246.320623
342;37;3879.480085
344;20;3806.552658
345;39;3966.217548
351;940;62467.84078
352;32;3687.023011
353;13;551.76216
354;96;10403.60279
355;365;40284.23137
356;97;8432.5411
357;43;5838.51899
358;36;3726.977145
359;129;19797.95486
360;172;19980.69898
361;117;7354.139778
362;61;6318.611148
363;57;4127.109371
371;214;18356.78443
381;34;3756.532228
382;4;768.601125
383;116;10795.69593
385;28;3490.135136
386;65;5519.243124
387;50;2431.488835
388;30;2814.792503
389;4;330.043282
390;4;486.474823
392;48;5146.328464
393;32;3445.875317
394;36;3075.633086
401;6;430.219091
404;285;25330.94336
405;91;10507.46867
406;131;13737.38673
407;43;6636.095394
410;14;1643.145887
411;18;1495.326525
412;111;9242.466752
413;33;2453.09707
414;36;7410.911476
415;11;676.356678
418;55;8842.894005
420;21;1832.771206
421;15;2310.585524
423;11;1360.691489
424;164;27282.06515
432;11;1595.954
434;9;1858.649237
435;18;3675.508488
437;10;1912.72467
441;12;1699.10981
443;41;7902.23566
444;34;6129.574125
445;18;4842.849174
446;97;11442.99947
448;15;3106.306469
449;1;519.073523
450;5;7213.728582
492;53;2771.109884
493;10;1818.858692
494;40;8652.020227
495;47;5785.243567
496;94;10763.48343
497;41;4645.338032
498;27;3557.909761
499;8;2725.05668
500;20;3109.830344
502;43;7183.911182
533;3;363.861429
538;117;10416.2488
540;45;4664.52602
543;28;1716.595402
544;36;2262.583599
546;88;6450.372966
551;46;2499.183854
552;49;6801.281869
554;14;1910.16207
556;10;689.311303
562;25;2186.507419
563;95;7308.427498
564;33;7210.598436
565;31;1966.325106
566;16;3226.146668
567;56;6018.451393
571;88;8587.074037
572;84;7613.215687
573;112;11274.04871
574;6;755.274637
